0,1,2,3
Altersgruppe,,,
12 bis 17 Jahre,18 bis 59 Jahre  60 Jahre und älter,,
Symptomatische COVID-19-Fälle¹,34.293,229.768,57.233
davon vollständig geimpft,2.593,114.849,40.788
Anteil Impfdurchbrüche,"7,6%","50,0%","71,3%"
Hospitalisierte symptomatische COVID-19-Fälle¹,169,4.255,6.638
davon vollständig geimpft,18,1.235,3.617
Anteil Impfdurchbrüche,"10,7%","29,0%","54,5%"
Auf Intensivstation betreute symptomatische,,,
4,598,1.119,
COVID-19-Fälle¹,,,
davon vollständig geimpft,0,94,498
Anteil Impfdurchbrüche,"0,0%","15,7%","44,5%"
Verstorbene symptomatische COVID-19-Fälle¹ ²,1,88,1.352
davon vollständig geimpft,0,16,649
Anteil Impfdurchbrüche,"0,0%","18,2%","48,0%"
