0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams, Kranken-",Arztpraxen (Vertragsärzte und Pri-,Betriebsärzte,,,,,,,
häuser,vatärzte),,,,,,,,
Bundesland,Erstimpfun- Zweitimpfun-,Auffri-,Erstimpfun- Zweitimp-,Auffri-,Erstimpfun-,Zweitimp-,Auffri-,,
gen,gen,schungsimp-,gen,fungen schungsimp-,gen,fungen,schungs-,,
fungen,fungen,impfungen,,,,,,,
Baden-Würt-,4.337.472,3.953.498,102.365,2.884.341 2.658.364,183.644,183.915,174.578,669,
temberg,,,,,,,,,
Bayern,4.863.000,4.492.444,141.268,3.648.909 3.346.162,175.977,223.989,209.301,514,
Berlin,1.435.572,1.333.499,75.365,1.064.026,965.301,94.767,41.350,43.771,93
Brandenburg,826.018,762.872,9.645,757.573,660.056,33.514,10.125,9.469,154
Bremen,372.902,331.107,19.015,163.174,144.528,8.756,16.016,13.332,17
Hamburg,768.367,701.511,14.545,541.868,481.221,32.638,65.965,62.611,277
Hessen,2.521.925,2.229.264,57.912,1.724.326 1.584.109,100.069,112.351,107.546,702,
Mecklenburg-,579.763,524.552,16.128,497.616,459.460,17.329,5.835,5.462,19
Vorpommern,,,,,,,,,
Niedersach-,3.141.561,2.728.641,38.704,2.503.825 2.250.795,134.363,110.263,100.936,1.919,
sen,,,,,,,,,
Nordrhein-,7.022.075,6.337.632,58.500,5.878.770 5.186.726,456.485,347.416,311.928,5.868,
Westfalen,,,,,,,,,
Rheinland-,1.667.392,1.459.795,21.221,1.179.311 1.059.113,91.363,65.183,60.403,316,
Pfalz,,,,,,,,,
Saarland,434.432,400.346,9.618,295.948,262.551,15.021,15.064,14.038,53
Sachsen,1.432.659,1.314.697,17.023,938.625,872.279,43.396,23.806,22.227,95
Sachsen-An-,801.946,724.156,13.465,598.334,541.411,34.401,11.919,10.902,165
halt,,,,,,,,,
Schleswig-Hol-,1.169.197,1.059.693,19.990,950.606,858.906,93.530,34.911,34.735,448
stein,,,,,,,,,
Thüringen,840.821,763.326,33.189,466.982,438.819,24.244,11.238,9.941,11
Gesamt,32.215.102,29.117.033,647.953 24.094.234 21.769.801,1.539.497,1.279.346,1.191.180,11.320,,
