0,1,2,3,4,5,6
Alter 12-17,Alter 18-59,Alter ≥60 Jahre,,,,
Kumuliert,KW,Kumuliert,KW,Kumuliert,KW,
seit KW 05,37-40,seit KW 05,37-40,seit KW 05,37-40,
Symptomatische COVID-19-Fälle,,,,,,
84.941,15.362,750.727,85.408,150.365,14.631,
(mit Angabe Impfstatus),,,,,,
Wahrscheinliche Impfdurchbrüche unter,,,,,,
784,404,61.754,26.979,17.643,8.100,
symptomatischen COVID-19-Fällen,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
"0,9 %","2,6 %","8,2 %","31,6 %","11,7 %","55,4 %",
unter symptomatischen COVID-19-Fällen,,,,,,
Anteil vollständig Geimpfte in der Bevöl-,,,,,,
"32,9 %",-,"69,6 %",-,"84,1 %",-,
kerung (Impfquote) [%] a),,,,,,
Wahrscheinliche Impfdurchbrüche und VOC b),,,,,,
Wahrscheinliche Impfdurchbrüche mit,,,,,,
408,213,33.946,14.039,9.870,4323,
Angaben zu VOC b),,,,,,
-,davon mit Delta-Variante,,,,,
(B.1.617.2),390/96 %,206/97 %,31.997/94 %,13.869/99 % 8.342/85 %,4.272/99 %,
Wahrscheinliche Impfdurchbrüche und Krankheitsschwere,,,,,,
Hospitalisierte COVID-19-Fälle (sympto-,,,,,,
804,99,30.579,2.939,34.168,2.675,
matisch mit Angabe Impfstatus),,,,,,
Hospitalisierte COVID-19-Fälle mit wahr-,,,,,,
7,4,1.111,449,2.888,1.060,
scheinlichem Impfdurchbruch,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
"0,9 %","4,0 %","3,6 %","15,3 %","8,5 %","39,6 %",
an hospitalisierten COVID-19-Fällen,,,,,,
COVID-19-Fälle auf Intensivstation,,,,,,
(symptomatisch mit Angabe zum,31,5,3.432,396,5.382,490
Impfstatus),,,,,,
Auf Intensivstation betreute COVID-19-,,,,,,
Fälle mit wahrscheinlichem Impfdurch-,0,0,89,40,378,141
bruch,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
"0,0 %","0,0 %","2,6 %","10,1 %","7,0 %","28,8 %",
