0,1,2,3,4
Anzahl übermittelnder,,,,
Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),
Labore,,,,
Bis einschließlich,,,,
93.501.987,7.905.582,,,
KW52/2021,,,,
1/2022,1.499.839,341.906,"22,8",214
2/2022,2.053.526,501.752,"24,4",210
3/2022,2.525.016,810.100,"32,1",214
4/2022,2.564.104,1.036.579,"40,4",215
5/2022,2.619.324,1.161.797,"44,4",215
6/2022,2.490.158,1.094.699,"44,0",211
7/2022,2.166.599,983.122,"45,4",214
8/2022,1.984.191,889.231,"44,8",208
9/2022,1.864.002,945.126,"50,7",209
10/2022,2.275.117,1.207.492,"53,1",204
Summe,115.543.863,16.877.386,,
