0,1,2,3,4
"Impfzentren, Mobile Teams,",Arztpraxen,,,
Bundesland,"Krankenhäuser,",(Vertragsärzte und,Betriebsärzte,Apotheken
Gesundheitsämter,Privatärzte),,,
Baden–Württemberg,10.443.764,11.203.664,559.796,2.039
Bayern,13.567.031,12.116.329,616.817,2.796
Berlin,3.707.919,3.838.852,135.281,2.464
Brandenburg,2.044.118,2.601.897,31.309,335
Bremen,1.016.100,543.420,44.767,40
Hamburg,1.817.624,2.056.166,180.309,1.029
Hessen,6.212.316,6.187.314,353.315,1.523
Mecklenburg-,,,,
1.537.408,1.668.021,21.654,452,
Vorpommern,,,,
Niedersachsen,7.736.235,8.944.232,362.763,2.884
Nordrhein-Westfalen,16.842.860,20.722.763,983.606,12.953
Rheinland-Pfalz,3.907.675,4.321.779,232.242,1.165
Saarland,1.078.045,1.084.162,47.047,973
Sachsen,3.484.065,3.491.559,98.128,1.865
Sachsen-Anhalt,2.043.952,2.123.488,47.261,557
Schleswig-Holstein,3.043.398,3.433.074,120.379,742
Thüringen,2.313.917,1.612.727,31.478,81
Gesamt,80.796.427,85.949.447,3.866.152,31.898
