0,1,2,3,4
Kalenderwoche,Anzahl Testun-,Positiv getestet,Positivenanteil,Anzahl über-
(KW),gen,(%),mittelnder La-,
bore,,,,
Bis einschließlich,,,,
67.723.520,4.301.404,,,
KW30/2021,,,,
31/2021,589.841,22.500,"3,81",209
32/2021,567.948,34.255,"6,03",204
33/2021,690.888,53.966,"7,81",205
34/2021,861.596,70.512,"8,18",208
35/2021,946.737,82.091,"8,67",210
36/2021,1.010.977,80.004,"7,91",211
37/2021,982.150,72.640,"7,40",213
38/2021,960.157,61.548,"6,41",209
39/2021,908.069,59.886,"6,59",206
40/2021,938.911,62.560,"6,66",196
Summe,76.180.794,4.901.366,,
