0,1,2,3,4
Anzahl,,,,
Kalenderwoche,Positiv,Positivenanteil,,
Anzahl Testungen,übermittelnder,,,
(KW),getestet,(%),,
Labore,,,,
Bis einschließlich,,,,
59.256.365,4.073.466,,,
KW19/2021,,,,
20/2021,1.221.100,70.443,"5,77",210
21/2021,951.220,39.462,"4,15",209
22/2021,883.832,27.561,"3,12",209
23/2021,835.367,19.298,"2,31",209
24/2021,730.722,10.462,"1,43",205
25/2021,714.477,6.927,"0,97",209
26/2021,709.016,5.665,"0,80",211
27/2021,598.806,6.624,"1,11",208
28/2021,597.892,9.808,"1,64",203
29/2021,584.229,13.710,"2,35",200
Summe,67.083.026,4.283.426,,
