0,1,2,3,4
Anzahl,,,,
Kalenderwoche,Positiv,Positivenanteil,,
Anzahl Testungen,übermittelnder,,,
(KW),getestet,(%),,
Labore,,,,
Bis einschließlich,,,,
60.477.465,4.143.909,,,
KW20/2021,,,,
21/2021,951.220,39.462,"4,15",209
22/2021,883.832,27.561,"3,12",209
23/2021,835.367,19.298,"2,31",209
24/2021,730.722,10.462,"1,43",205
25/2021,714.477,6.927,"0,97",209
26/2021,709.016,5.665,"0,80",211
27/2021,598.806,6.624,"1,11",208
28/2021,599.874,9.833,"1,64",204
29/2021,589.429,13.774,"2,34",205
30/2021,567.866,16.806,"2,96",195
Summe,67.658.074,4.300.321,,
