0,1,2,3,4
Anzahl,,,,
Kalenderwoche,Positiv,Positivenanteil,,
Anzahl Testungen,übermittelnder,,,
(KW),getestet,(%),,
Labore,,,,
Bis einschließlich,,,,
61.428.685,4.183.371,,,
KW21/2021,,,,
22/2021,883.832,27.561,"3,12",209
23/2021,835.367,19.298,"2,31",209
24/2021,730.722,10.462,"1,43",205
25/2021,714.477,6.927,"0,97",209
26/2021,726.832,5.890,"0,81",214
27/2021,612.225,6.872,"1,12",212
28/2021,616.517,10.259,"1,66",210
29/2021,602.823,14.291,"2,37",210
30/2021,589.822,18.046,"3,06",205
31/2021,588.404,23.223,"3,95",200
Summe,68.329.706,4.326.200,,
