0,1,2,3,4
Anzahl übermittelnder,,,,
Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),
Labore,,,,
Bis einschließlich,,,,
78.195.632,5.075.551,,,
KW42/2021,,,,
43/2021,1.167.753,141.312,"12,10",214
44/2021,1.195.791,188.906,"15,80",212
45/2021,1.636.434,279.812,"17,10",213
46/2021,1.869.620,366.923,"19,63",212
47/2021,1.950.937,409.645,"21,00",210
48/2021,1.948.754,401.116,"20,58",211
49/2021,1.728.813,340.797,"19,71",207
50/2021,1.537.211,285.350,"18,56",196
51/2021,1.228.486,201.403,"16,39",196
52/2021,947.946,204.589,"21,58",197
Summe,93.407.377,7.895.404,,
