0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams, Krankenhäu-",,,,,,,,,
Arztpraxen (Vertragsärzte und Privatärzte)  Betriebsärzte,,,,,,,,,
"ser, Gesundheitsämter",,,,,,,,,
Bundesland,Auffri-,Auffri-,Auffri-,,,,,,
Erstimpfun-,Zweitimp-,Erstimpfun-,Zweitimp-,Erstimpfun-,Zweitimp-,,,,
schungs-imp-,schungs-imp-,schungs-imp-,,,,,,,
gen,fungen,gen,fungen,gen,fungen,,,,
fungen,fungen,fungen,,,,,,,
Baden –,,,,,,,,,
4.553.378,4.137.699,1.594.765,3.396.390,3.246.371,4.143.291,194.349,187.308,164.744,
Württemberg,,,,,,,,,
Bayern,5.337.265,5.015.527,2.903.271,4.072.666,3.856.985,3.719.112,235.485,222.953,134.804
Berlin,1.526.026,1.422.432,692.329,1.251.649,1.163.233,1.262.027,42.739,45.557,41.696
Brandenburg,874.872,804.713,322.766,855.972,778.408,853.046,11.217,10.573,8.340
Bremen,411.493,363.711,217.543,179.411,165.332,174.992,16.728,14.048,12.586
Hamburg,826.019,741.236,216.328,608.376,557.903,702.851,70.287,67.185,37.588
Hessen,2.714.402,2.359.910,993.781,1.949.682,1.847.871,2.109.527,119.391,115.792,108.340
Mecklenburg-,,,,,,,,,
623.896,568.878,309.576,555.772,528.656,509.045,6.644,6.337,8.057,
Vorpommern,,,,,,,,,
Niedersachsen,3.308.956,2.890.572,1.333.583,2.785.854,2.615.112,3.152.364,118.342,110.322,126.088
Nordrhein-,,,,,,,,,
7.408.847,6.690.837,2.373.819,6.515.990,5.990.337,7.329.981,358.660,331.722,262.472,
Westfalen,,,,,,,,,
Rheinland-Pfalz,1.750.004,1.528.297,561.198,1.329.083,1.242.092,1.564.415,68.301,64.726,84.869
Saarland,457.959,419.115,179.847,331.632,307.409,406.510,15.906,14.955,15.433
Sachsen,1.528.121,1.392.373,484.555,1.071.557,1.029.573,1.217.389,26.917,26.000,39.895
Sachsen-Anhalt,861.967,780.039,341.423,676.907,649.359,677.459,13.564,12.380,19.438
Schleswig-,,,,,,,,,
1.232.058,1.137.964,596.398,1.049.932,978.202,1.142.617,37.916,38.330,39.226,
Holstein,,,,,,,,,
Thüringen,931.436,835.464,499.956,529.359,509.318,484.528,11.974,10.664,7.765
Gesamt,34.346.699,31.088.767,13.621.138,27.160.232,25.466.161,29.449.154,1.348.420,1.278.852,1.111.341
