0,1,2,3,4,5,6
Meldewoche 48,Meldewoche 49,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,60.669,546,51.675,465,-8.994,-15%
Bayern,71.288,543,53.274,405,-18.014,-25%
Berlin,13.551,370,11.941,326,-1.610,-12%
Brandenburg,17.473,690,17.020,672,-453,-3%
Bremen,1.446,213,1.491,219,45,+3%
Hamburg,4.614,249,4.938,267,324,+7%
Hessen,17.729,282,16.747,266,-982,-6%
Mecklenburg-Vorpommern,7.105,441,7.087,440,-18,-0%
Niedersachsen,17.289,216,15.928,199,-1.361,-8%
Nordrhein-Westfalen,56.026,313,51.969,290,-4.057,-7%
Rheinland-Pfalz,14.606,356,12.026,293,-2.580,-18%
Saarland,3.981,405,3.567,363,-414,-10%
Sachsen,54.681,1.348,42.590,1.050,-12.091,-22%
Sachsen-Anhalt,20.979,962,18.824,863,-2.155,-10%
Schleswig-Holstein,4.237,146,4.791,165,554,+13%
Thüringen,22.505,1.061,22.204,1.047,-301,-1%
Gesamt,388.179,467,336.072,404,-52.107,-13%
