0,1,2,3,4,5,6
Meldewoche 08,Meldewoche 09,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,168.628,1.519,173.744,1.565,5.116,+3%
Bayern,232.416,1.769,211.291,1.608,-21.125,-9%
Berlin,41.910,1.144,33.641,918,-8.269,-20%
Brandenburg,37.567,1.484,37.700,1.489,133,+0%
Bremen,5.033,740,4.937,726,-96,-2%
Hamburg,12.972,700,14.038,758,1.066,+8%
Hessen,61.611,979,60.455,961,-1.156,-2%
Mecklenburg-,,,,,,
25.149,1.561,28.523,1.771,3.374,+13%,
Vorpommern,,,,,,
Niedersachsen,97.707,1.221,103.261,1.290,5.554,+6%
Nordrhein-Westfalen,201.871,1.126,222.448,1.241,20.577,+10%
Rheinland-Pfalz,43.211,1.054,50.141,1.223,6.930,+16%
Saarland,11.962,1.216,14.279,1.451,2.317,+19%
Sachsen,54.471,1.343,59.563,1.468,5.092,+9%
Sachsen-Anhalt,41.240,1.891,38.739,1.776,-2.501,-6%
Schleswig-Holstein,25.217,866,28.863,992,3.646,+14%
Thüringen,28.044,1.323,31.574,1.489,3.530,+13%
Gesamt,1.089.009,1.310,1.113.197,1.339,24.188,+2%
