0,1,2,3,4,5,6
"Impfzentren, Mobile Teams,",Arztpraxen (Vertragsärzte und,,,,,
Betriebsärzte,,,,,,
Krankenhäuser,Privatärzte),,,,,
Erstimpfungen Zweitimpfungen,Erstimpfungen Zweitimpfungen Erstimpfungen Zweitimpfungen,,,,,
Bundesland,,,,,,
Gesamt,Gesamt,Gesamt,Gesamt,Gesamt,Gesamt,
Baden-,,,,,,
3.973.438,3.580.149,2.587.349,2.187.526,166.188,142.092,
Württemberg,,,,,,
Bayern,4.368.284,3.808.520,3.328.018,2.789.270,204.917,157.972
Berlin,1.333.840,1.138.132,915.936,750.762,34.981,27.226
Brandenburg,774.218,696.592,648.835,516.342,9.517,7.380
Bremen,329.183,283.983,144.274,116.829,15.141,11.993
Hamburg,705.903,569.637,445.161,330.526,58.088,39.146
Hessen,2.298.395,1.912.752,1.529.574,1.243.368,95.390,68.498
Mecklenburg-,,,,,,
535.033,465.239,437.899,375.798,5.477,4.755,
Vorpommern,,,,,,
Niedersachsen,2.926.448,2.302.845,2.212.516,1.764.002,93.791,70.773
Nordrhein-,,,,,,
6.340.934,5.514.371,5.199.176,3.991.715,318.109,220.267,
Westfalen,,,,,,
Rheinland-,,,,,,
1.520.424,1.293.368,1.053.788,840.808,49.808,49.853,
Pfalz,,,,,,
Saarland,401.106,337.876,265.298,211.521,13.262,10.568
Sachsen,1.310.706,1.189.764,827.732,711.821,20.225,17.701
Sachsen-,,,,,,
741.274,654.731,524.885,429.940,9.958,7.424,
Anhalt,,,,,,
Schleswig-,,,,,,
1.067.954,932.053,848.620,655.663,30.643,22.215,
Holstein,,,,,,
Thüringen,773.024,701.797,417.041,364.695,10.581,7.983
Gesamt,29.400.164,25.381.809,21.386.102,17.280.586,1.136.107,865.846
