0,1,2,3,4
Anzahl übermittelnder,,,,
Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),
Labore,,,,
Bis einschließlich,,,,
80.563.620,5.405.892,,,
KW44/2021,,,,
45/2021,1.638.021,279.856,"17,09",214
46/2021,1.871.232,366.962,"19,61",213
47/2021,1.952.475,409.685,"20,98",211
48/2021,1.950.318,401.160,"20,57",212
49/2021,1.740.705,341.493,"19,62",211
50/2021,1.556.629,286.922,"18,43",204
51/2021,1.244.545,202.536,"16,27",205
52/2021,960.294,206.387,"21,49",208
1/2022,1.498.858,341.546,"22,79",211
2/2022,2.050.740,500.787,"24,42",204
Summe,97.027.437,8.743.226,,
