0,1,2,3,4
Kalenderwoche,Anzahl Testun-,Positiv getestet,Positivenanteil,Anzahl über-
(KW),gen,(%),mittelnder La-,
bore,,,,
Bis einschließlich,75.427.176,4.844.482,,
KW39/2021,,,,
40/2021,962.234,62.221,"6,47",211
41/2021,862.348,69.723,"8,09",209
42/2021,909.936,98.656,"10,84",205
43/2021,1.166.376,141.291,"12,11",213
44/2021,1.194.338,188.873,"15,81",211
45/2021,1.629.000,278.982,"17,13",211
46/2021,1.861.289,365.882,"19,66",210
47/2021,1.945.234,408.730,"21,01",209
48/2021,1.942.936,400.317,"20,60",210
49/2021,1.721.351,339.985,"19,75",203
Summe,89.622.218,7.199.142,,
