0,1,2,3,4,5,6,7,8,9
Bundesland,"Impfzentren, Mobile Teams, Krankenhäuser",Arztpraxen (Vertragsärzte und Privatärzte),Betriebsärzte,,,,,,
Erst-,Zweit-,Auffrischungs-,Erst-,Zweit-,Auffrischungs-,Erst-,Zweit-,Auffrischungs-,
impfungen,impfungen,impfungen,impfungen,impfungen,impfungen,impfungen,impfungen,impfungen,
Baden-,,,,,,,,,
Württemberg,,,,,,,,,
4.273.195 3.882.090,54.332 2.728.410 2.428.890,25.666,181.107,171.193,124,,,,
Bayern,4.702.016 4.271.669,27.696 3.501.991 3.145.095,25.882,218.689,203.615,110,,,
Berlin,1.404.693 1.288.319,17.340 1.005.473,883.953,14.247,41.035,43.381,17,,
Brandenburg,807.677,742.147,2.984,720.725,603.796,3.893,9.991,9.267,3
Bremen,359.310,317.032,6.129,156.245,133.060,932,15.907,13.268,2
Hamburg,745.837,681.601,472,501.795,421.072,4.052,64.167,60.878,11
Hessen,2.466.857 2.160.539,25.080 1.644.692 1.457.111,13.521,111.337,105.999,89,,,
Mecklenburg-,,,,,,,,,
Vorpommern,,,,,,,,,
565.956,508.061,2.770,476.645,426.246,2.428,5.810,5.384,6,
Niedersachsen,3.122.345 2.683.875,1.118 2.375.410 2.067.346,13.133,108.763,97.824,49,,,
Nordrhein-,,,,,,,,,
Westfalen,,,,,,,,,
6.908.151 6.162.541,24.329 5.640.507 4.731.347,88.784,342.159,303.038,2.153,,,,
Rheinland-,,,,,,,,,
Pfalz,,,,,,,,,
1.634.032 1.425.856,36 1.127.628,972.345,14.815,64.166,58.897,17,,,
Saarland,424.611,390.689,1.946,284.581,244.041,2.365,14.837,13.566,10
Sachsen,1.403.583 1.277.386,3.904,893.144,800.692,4.132,23.411,21.670,4,
Sachsen-,,,,,,,,,
Anhalt,,,,,,,,,
789.608,709.233,6.049,567.319,496.865,6.606,11.843,10.788,4,
Schleswig-,,,,,,,,,
Holstein,,,,,,,,,
1.153.227 1.036.681,12.634,911.356,786.752,15.259,34.419,34.203,163,,
Thüringen,815.008,740.042,7.537,446.709,409.818,3.150,11.197,9.831,2
Gesamt,31.576.106 28.277.761,194.356 22.982.630 20.008.429,238.865,1.258.838,1.162.802,2.764,,,
