0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams, Kranken-",Arztpraxen (Vertragsärzte und Privat-,Betriebsärzte,,,,,,,
häuser,ärzte),,,,,,,,
Bundesland,Erst-impfun-,Zweit-imp-,Auffri-,Erst-impfun- Zweit-imp-,Auffri-,Erst-impfun-,Zweit-imp-,Auffri-,
gen,fungen,schungs-imp-,gen,fungen,schungs-,gen,fungen,schungs-,
fungen,impfungen,impfungen,,,,,,,
Baden-Würt-,3.944.248,88.851,2.837.214,2.576.989,109.638,183.226,173.693,231,
4.326.147,,,,,,,,,
temberg,,,,,,,,,
Bayern,4.818.429,4.430.366,82.234,3.608.794,3.281.896,100.322,223.539,208.423,226
Berlin,1.427.851,1.320.301,50.335,1.047.694,943.152,58.248,41.316,43.716,59
Brandenburg,821.429,757.404,7.380,747.510,643.695,16.812,10.106,9.375,25
Bremen,370.134,327.412,12.636,161.628,141.504,4.554,16.006,13.313,2
Hamburg,761.778,694.162,8.387,530.498,463.314,15.145,65.649,61.474,27
Hessen,2.509.967,2.213.092,44.562,1.702.166,1.544.850,54.965,112.102,107.149,366
Mecklenburg-,575.920,519.923,9.613,491.122,450.493,8.563,5.829,5.449,10
Vorpommern,,,,,,,,,
Niedersachsen,3.136.045,2.725.266,10.594,2.476.532,2.197.322,72.040,109.888,100.169,690
Nordrhein-,7.000.765,6.314.889,42.780,5.814.106,5.054.388,288.686,346.362,311.111,4.430
Westfalen,,,,,,,,,
Rheinland-,1.660.451,1.453.628,17.032,1.165.397,1.030.256,57.573,65.064,60.171,160
Pfalz,,,,,,,,,
Saarland,432.364,398.609,6.250,293.483,257.580,9.114,15.023,14.017,19
Sachsen,1.424.161,1.305.335,7.949,928.951,854.835,25.778,23.686,22.028,41
Sachsen-An-,798.286,720.534,10.757,590.929,528.849,23.292,11.890,10.857,13
halt,,,,,,,,,
Schleswig-Hol-,1.165.458,1.058.878,18.750,937.344,835.025,53.720,34.871,34.659,232
stein,,,,,,,,,
Thüringen,833.186,755.954,19.632,461.973,431.890,14.557,11.226,9.916,2
Gesamt,32.062.371,28.940.001,437.742,23.795.341,21.236.038,913.007,1.275.783,1.185.520,6.533
