0,1,2,3,4,5
Altersgruppe,,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,,
Jahre,Jahre,Jahre,und älter,,
Grundimmunisierung,,,,,
Anteil grundimmunisierter Bevölkerung13,12%,51%,60%,59%,
Anteil grundimmunisierter hospitalisierte Fälle,13,5%,26%,37%,25%
Geschätzte Impfeffektivität gegenüber,62%,65%,60%,77%,
Hospitalisierung,,,,,
Auffrischimpfung,,,,,
Anteil Bevölkerung mit Auffrischimpfung13,0%,40%,77%,89%,
Anteil hospitalisierte Fälle mit Auffrischimpfung,13,0%,6%,38%,41%
Geschätzte Impfeffektivität gegenüber,--,90%,81%,91%,
