0,1,2,3,4,5,6
Alter 12-17,Alter 18-59,Alter ≥60 Jahre,,,,
Kumuliert,KW,Kumuliert,KW,Kumuliert,KW,
seit KW 05,34-37,seit KW 05,34-37 seit KW 05,34-37,,
Symptomatische COVID-19-Fälle,89.983,18.702,874.292,102.490  185.224,12.137,
(gesamt),,,,,,
Wahrscheinliche Impfdurchbrüche,409,265,37.024,21.813,10.320,5.410
Anteil wahrscheinliche Impfdurchbrüche,"0,5%","1,4%","4,2%","21,3%","5,6%","44,6%"
unter symptomatischen COVID-19-,,,,,,
Fällen,,,,,,
Anteil vollständig Geimpfte in der,"23,1%",-,"66,2%",-,"83,1%",-
Bevölkerung (Impfquote) [%] a),,,,,,
Wahrscheinliche Impfdurchbrüche und VOC b),,,,,,
Wahrscheinliche Impfdurchbrüche mit,176,89,17.466,8.569,4.908,2.017
Angaben zu VOC b),,,,,,
164/,87/,15699/,8473/,3445/,1992/,
-,davon mit Delta-Variante,,,,,
(B.1.617.2),93%,98%,90%,99%,70%,99%
Wahrscheinliche Impfdurchbrüche und Krankheitsschwere,,,,,,
Hospitalisierte COVID-19-Fälle gesamt,1.300,210,45.855,5.745,65.621,3.829
Hospitalisierte COVID-19-Fälle mit,4,3,678,374,1818,762
wahrscheinlichem Impfdurchbruch,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,"0,3%","1,4%","1,5%","6,5%","2,8%","19,9%"
an hospitalisierten COVID-19-Fällen,,,,,,
COVID-19-Fälle auf Intensivstation,36,10,4.211,667,7.679,653
gesamt,,,,,,
Auf Intensivstation betreute COVID-19-,0,0,48,30,218,111
Fälle mit wahrscheinlichem,,,,,,
Impfdurchbruch,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,"0,0%","0,0%","1,1%","4,5%","2,8%","17,0%"
an COVID-19-Fällen auf Intensivstation,,,,,,
Verstorbene COVID-19-Fälle gesamt,2,1,2.050,94,20.867,623
COVID-19-Fälle mit wahrscheinlichem,0,0,3,2,585,160
"Impfdurchbruch, die verstorben sind",,,,,,
Anteil wahrscheinliche Impfdurchbrüche,"0,0%","0,0%","0,1%","2,1%","2,8%","25,7%"
an verstorbenen COVID-19-Fällen,,,,,,
a),"Dazu zählen alle Impfserien in Deutschland mit 1 Dosis (Janssen-Vakzine) bzw. 2 Dosen (Moderna-,",,,,,
