0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59 60 Jahre,,
Jahre,Jahre,Jahre,und älter,
Symptomatische COVID-19-Fälle,38.861,28.684,253.889,48.329
davon… ungeimpft,31.899,13.161,50.727,9.397
grundimmunisiert,6.648,9.257,53.398,5.078
mit Auffrischimpfung,314,6.266,149.764,33.854
Hospitalisierte symptomatische COVID-19-Fälle,156,94,1.229,2.031
davon… ungeimpft,132,58,429,854
grundimmunisiert,24,25,294,228
mit Auffrischimpfung,0,11,506,949
Auf Intensivstation betreute symptomatische COVID-19-Fälle,1,0,32,194
davon… ungeimpft,1,0,17,95
grundimmunisiert,0,0,6,18
mit Auffrischimpfung,0,0,9,81
Verstorbene symptomatische COVID-19-Fälle,0,1,11,330
davon… ungeimpft,0,1,8,164
grundimmunisiert,0,0,1,40
mit Auffrischimpfung,0,0,2,126
