0,1,2,3,4,5,6
Meldewoche 3,Meldewoche 4,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,100.036,901,136.872,1.233,36.836,+37%
Bayern,133.518,1.016,194.887,1.483,61.369,+46%
Berlin,60.403,1.649,69.995,1.910,9.592,+16%
Brandenburg,30.194,1.193,36.374,1.437,6.180,+20%
Bremen,9.498,1.396,10.899,1.602,1.401,+15%
Hamburg,37.074,2.001,36.899,1.992,-175,-0%
Hessen,63.619,1.011,94.402,1.500,30.783,+48%
Mecklenburg-,,,,,,
12.767,793,17.510,1.087,4.743,+37%,
Vorpommern,,,,,,
Niedersachsen,61.372,767,79.370,992,17.998,+29%
Nordrhein-Westfalen,180.407,1.006,246.974,1.378,66.567,+37%
Rheinland-Pfalz,31.121,759,39.175,956,8.054,+26%
Saarland,8.481,862,11.540,1.173,3.059,+36%
Sachsen,17.464,430,29.041,716,11.577,+66%
Sachsen-Anhalt,9.981,458,18.271,838,8.290,+83%
Schleswig-Holstein,28.803,989,28.683,985,-120,-0%
Thüringen,6.515,307,10.096,476,3.581,+55%
Gesamt,791.253,952,1.060.988,1.276,269.735,+34%
