0,1,2,3,4
Anzahl übermittelnder,,,,
Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),
Labore,,,,
Bis einschließlich,,,,
76.407.392,4.906.872,,,
KW 40/2021,,,,
41/2021,862.348,69.723,"8,09",209
42/2021,909.936,98.656,"10,84",205
43/2021,1.166.376,141.291,"12,11",213
44/2021,1.194.338,188.873,"15,81",211
45/2021,1.634.998,279.773,"17,11",212
46/2021,1.868.059,366.871,"19,64",211
47/2021,1.950.937,409.645,"21,00",210
48/2021,1.948.754,401.116,"20,58",211
49/2021,1.728.813,340.797,"19,71",207
50/2021,1.535.126,285.209,"18,58",193
Summe,91.207.077,7.488.826,,
