0,1,2,3,4
"Impfzentren, Mobile Teams,",Arztpraxen,,,
Bundesland,"Krankenhäuser,",(Vertragsärzte und,Betriebsärzte,Apotheken
Gesundheitsämter,Privatärzte),,,
Baden–Württemberg,10.412.217,11.132.171,558.406,1.364
Bayern,13.507.339,12.041.888,615.425,1.797
Berlin,3.698.318,3.807.977,135.156,1.773
Brandenburg,2.038.446,2.579.057,31.032,202
Bremen,1.011.691,539.641,44.649,29
Hamburg,1.811.189,2.024.956,179.501,746
Hessen,6.180.374,6.137.265,352.438,1.111
Mecklenburg-,,,,
1.530.090,1.653.560,21.575,354,
Vorpommern,,,,
Niedersachsen,7.696.269,8.870.856,361.722,2.085
Nordrhein-Westfalen,16.768.530,20.557.794,978.204,7.819
Rheinland-Pfalz,3.891.558,4.282.435,231.317,620
Saarland,1.073.761,1.075.889,47.004,686
Sachsen,3.466.840,3.455.932,97.638,1.363
Sachsen-Anhalt,2.036.333,2.099.056,47.097,307
Schleswig-Holstein,3.030.705,3.344.156,120.159,426
Thüringen,2.304.628,1.595.810,31.430,54
Gesamt,80.458.288,85.198.443,3.852.753,20.736
