0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,
Jahre,Jahre,Jahre,und älter,
Symptomatische COVID-19-Fälle,49.490,33.369,273.725,44.453
davon… ungeimpft,43.672,17.255,65.033,9.177
grundimmunisiert,5.591,11.056,68.678,6.190
mit Auffrischimpfung,227,5.058,140.014,29.086
Hospitalisierte symptomatische COVID-19-Fälle,179,103,1.552,2.074
davon… ungeimpft,165,66,606,930
grundimmunisiert,13,27,380,301
mit Auffrischimpfung,1,10,566,843
Auf Intensivstation betreute symptomatische COVID-19-Fälle,5,2,53,218
davon… ungeimpft,5,1,36,136
grundimmunisiert,0,1,8,32
mit Auffrischimpfung,0,0,9,50
Verstorbene symptomatische COVID-19-Fälle,1,0,22,383
davon… ungeimpft,1,0,14,209
grundimmunisiert,0,0,1,56
mit Auffrischimpfung,0,0,7,118
