0,1,2,3,4,5,6
Meldewoche 07,Meldewoche 08,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,189.376,1.706,166.662,1.501,-22.714,-12%
Bayern,252.136,1.919,230.821,1.757,-21.315,-8%
Berlin,43.062,1.175,41.779,1.140,-1.283,-3%
Brandenburg,43.198,1.707,37.294,1.473,-5.904,-14%
Bremen,5.808,854,5.050,743,-758,-13%
Hamburg,19.079,1.030,12.854,694,-6.225,-33%
Hessen,78.641,1.250,61.224,973,-17.417,-22%
Mecklenburg-,22.892,1.421,25.188,1.564,2.296,+10%
Vorpommern,,,,,,
Niedersachsen,94.052,1.175,95.904,1.198,1.852,+2%
Nordrhein-Westfalen,236.663,1.320,200.261,1.117,-36.402,-15%
Rheinland-Pfalz,48.228,1.177,42.899,1.047,-5.329,-11%
Saarland,13.518,1.374,11.967,1.216,-1.551,-11%
Sachsen,55.167,1.360,53.838,1.327,-1.329,-2%
Sachsen-Anhalt,35.139,1.611,41.204,1.889,6.065,+17%
Schleswig-Holstein,23.091,793,25.227,867,2.136,+9%
Thüringen,23.772,1.121,28.047,1.323,4.275,+18%
Gesamt,1.183.822,1.424,1.080.219,1.299,-103.603,-9%
