0,1,2,3,4,5,6
Meldewoche 46,Meldewoche 47,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,52.832,476,59.451,535,6.619,+13%
Bayern,89.504,681,84.871,646,-4.633,-5%
Berlin,13.839,378,14.816,404,977,+7%
Brandenburg,15.251,603,19.151,757,3.900,+26%
Bremen,1.206,177,1.478,217,272,+23%
Hamburg,4.092,221,4.598,248,506,+12%
Hessen,15.492,246,18.042,287,2.550,+16%
Mecklenburg-Vorpommern,4.565,283,6.895,428,2.330,+51%
Niedersachsen,15.189,190,18.191,227,3.002,+20%
Nordrhein-Westfalen,44.068,246,53.662,299,9.594,+22%
Rheinland-Pfalz,10.823,264,13.624,332,2.801,+26%
Saarland,3.447,350,4.349,442,902,+26%
Sachsen,48.935,1.206,58.337,1.438,9.402,+19%
Sachsen-Anhalt,13.053,599,17.028,781,3.975,+30%
Schleswig-Holstein,4.036,139,4.551,156,515,+13%
Thüringen,14.580,688,19.635,926,5.055,+35%
Gesamt,350.912,422,398.679,479,47.767,+14%
