0,1,2,3,4
Anzahl übermittelnder,,,,
Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),
Labore,,,,
Bis einschließlich,,,,
86.029.702,6.465.830,,,
KW47/2021,,,,
48/2021,1.950.318,401.160,"20,57",212
49/2021,1.742.018,342.631,"19,67",212
50/2021,1.556.794,286.958,"18,43",206
51/2021,1.244.761,202.568,"16,27",207
52/2021,960.437,206.409,"21,49",210
1/2022,1.499.030,341.569,"22,79",213
2/2022,2.052.343,501.078,"24,41",209
3/2022,2.516.408,806.955,"32,07",211
4/2022,2.553.434,1.032.081,"40,42",211
5/2022,2.596.581,1.152.716,"44,39",205
Summe,104.701.826,11.739.955,,
