0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams,",Arztpraxen (Vertragsärzte und,Betriebsärzte,,,,,,,
Krankenhäuser,Privatärzte),,,,,,,,
Bundesland,Erstimpfun- Zweitimpfun-,Auffri-,Erstimpfun- Zweitimpfun-,Auffri-,Erstimpfun- Zweitimpfun-,Auffri-,,,
gen,gen,schungsimp-,gen,gen,schungsimp-,gen,gen,schungsimp-,
fungen,fungen,fungen,,,,,,,
Baden-,4.373.155,3.964.571,194.961,2.983.351,2.766.692,578.166,185.409,176.049,4.836
Württemberg,,,,,,,,,
Bayern,5.003.054,4.583.195,519.768,3.733.109,3.437.658,572.840,225.131,210.381,3.192
Berlin,1.456.034,1.349.332,165.812,1.110.917,1.008.423,238.363,41.420,43.864,403
Brandenburg,830.463,765.109,24.816,778.278,682.471,142.214,10.212,9.551,738
Bremen,378.163,334.823,39.597,165.727,149.064,30.920,16.030,13.360,531
Hamburg,781.163,709.864,37.418,555.642,498.911,102.137,66.628,63.027,944
Hessen,2.555.388,2.246.087,124.459,1.767.989,1.636.466,320.868,114.247,109.192,2.748
Mecklenburg-,589.349,530.474,47.705,508.873,472.191,71.457,5.849,5.476,619
Vorpommern,,,,,,,,,
Niedersachsen,3.164.069,2.739.617,145.551,2.558.530,2.338.155,469.282,110.774,101.425,5.615
Nordrhein-,7.070.584,6.369.748,191.634,5.999.439,5.359.383,1.327.222,348.242,312.996,12.386
Westfalen,,,,,,,,,
Rheinland-,1.674.822,1.463.580,40.444,1.207.136,1.097.297,268.125,65.378,60.651,1.388
Pfalz,,,,,,,,,
Saarland,440.459,403.134,31.053,301.778,270.760,59.676,15.101,14.072,724
Sachsen,1.449.201,1.325.040,62.069,962.136,899.618,175.716,24.050,22.427,2.925
Sachsen-,812.289,729.621,40.699,615.882,563.775,114.456,11.994,10.994,2.237
Anhalt,,,,,,,,,
Schleswig-,1.176.475,1.061.525,25.365,969.281,881.367,235.034,35.109,35.035,1.468
Holstein,,,,,,,,,
Thüringen,859.411,774.577,116.886,478.073,450.667,80.291,11.264,9.966,76
Gesamt,32.614.079,29.350.297,1.808.237 24.696.141,22.512.898,4.786.767,1.286.838,1.198.466,40.830,
