0,1,2,3,4
Kalenderwoche,Anzahl Testun-,Positiv getestet,Positivenanteil,Anzahl über-
(KW),gen,(%),mittelnder La-,
bore,,,,
Bis einschließlich,,,,
KW34/2021,70.433.793,4.482.637,,
35/2021,946.737,82.091,"8,67",210
36/2021,1.010.977,80.004,"7,91",211
37/2021,982.150,72.640,"7,40",213
38/2021,961.979,61.593,"6,40",210
39/2021,963.970,61.710,"6,40",209
40/2021,957.725,62.171,"6,49",208
41/2021,857.989,69.645,"8,12",206
42/2021,906.917,98.591,"10,87",203
43/2021,1.159.772,140.857,"12,15",208
44/2021,1.166.712,187.018,"16,03",196
Summe,80.348.721,5.398.957,,
