0,1,2,3,4,5,6
Alter 12-17,Alter 18-59,Alter ≥60 Jahre,,,,
Kumuliert,,,,,,
Kumuliert,KW,Kumuliert,KW,KW,,
seit KW,,,,,,
seit KW 05,29-32,seit KW 05,29-32,29-32,,
05,,,,,,
Symptomatische COVID-19-Fälle,65.845,5.053,738.672,38.829,169.824,3.176
(gesamt),,,,,,
Wahrscheinliche Impfdurchbrüche,80,57,9.562,5.736,3.718,1.134
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
unter symptomatischen COVID-19-,"0,1%","1,1%","1,3%","14,8%","2,2%","35,7%"
Fällen,,,,,,
Anteil vollständig Geimpfte in der,"9,9%",-,"53,1%",-,"79,6%",
Bevölkerung (Impfquote) [%]#,,,,,,
Wahrscheinliche Impfdurchbrüche und VOC,,,,,,
Wahrscheinliche Impfdurchbrüche mit,38,22,4.330,2.016,1.910,375
Angaben zu VOC,,,,,,
-,davon mit Delta-Variante,,,,,
30 (79%),22 (100%),2.735 (63%),1.966 (98%),499 (26%),360 (96%),
(B.1.617.2),,,,,,
Wahrscheinliche Impfdurchbrüche und Krankheitsschwere,,,,,,
Hospitalisierte COVID-19-Fälle gesamt,1.026,73,38.266,2.055,60.806,1.107
Hospitalisierte COVID-19-Fälle mit,0,0,183,97,820,164
wahrscheinlichem Impfdurchbruch,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
an hospitalisierten COVID-19-Fällen,0%,0%,"0,5%","4,7%","1,3%","14,8%"
COVID-19-Fälle auf Intensivstation,,,,,,
gesamt,25,4,3.219,165,6.717,140
Auf Intensivstation betreute COVID-19-,,,,,,
Fälle mit wahrscheinlichem,0,0,8,4,68,13
Impfdurchbruch,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
an COVID-19-Fällen auf Intensivstation,0%,0%,"0,2%","2,4%","1,0%","9,3%"
Verstorbene COVID-19-Fälle gesamt,1,0,1.871,16,19.886,123
COVID-19-Fälle mit wahrscheinlichem,0,0,1,0,334,19
"Impfdurchbruch, die verstorben sind",,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
an verstorbenen COVID-19-Fällen,0%,-,"0,1%",0%,"1,7%","15,4%"
