0,1,2,3,4,5,6
"Impfzentren, Mobile",Arztpraxen (Vertragsärzte,,,,,
Betriebsärzte,,,,,,
"Teams, Krankenhäuser",und Privatärzte),,,,,
Bundesland,Erstimpfungen Zweitimpfungen Erstimpfungen,Zweitimpfungen,Erstimpfungen Zweitimpfungen,,,
Gesamt,Gesamt,Gesamt,Gesamt,Gesamt,Gesamt,
Baden-Württemberg,3.854.998,3.260.033,2.491.840,1.674.680,150.622,41.942
Bayern,4.229.917,3.463.290,3.204.660,2.101.851,187.932,36.631
Berlin,1.269.755,1.010.106,873.910,615.073,30.868,10.679
Brandenburg,753.638,607.577,623.354,430.166,7.545,1.906
Bremen,318.957,241.648,138.761,93.019,13.271,3.558
Hamburg,666.254,514.883,419.911,253.831,49.940,9.098
Hessen,2.202.694,1.781.954,1.462.223,976.695,85.629,16.533
Mecklenburg-,,,,,,
517.442,416.859,421.093,316.329,4.924,1.416,
Vorpommern,,,,,,
Niedersachsen,2.815.892,2.051.198,2.130.992,1.332.821,84.579,13.258
Nordrhein-Westfalen,6.095.592,5.153.136,5.017.808,3.172.558,288.745,48.253
Rheinland-Pfalz,1.464.841,1.172.623,1.012.295,652.075,36.480,10.561
Saarland,380.996,309.736,254.756,165.949,12.729,2.027
Sachsen,1.267.352,1.099.677,794.059,600.834,19.470,9.565
Sachsen-Anhalt,717.081,587.317,503.508,344.016,9.216,3.076
Schleswig-Holstein,1.016.725,848.086,809.322,494.867,25.204,4.057
Thüringen,751.618,633.583,400.453,305.536,10.129,2.252
Gesamt,28.323.752,23.151.706,20.558.945,13.530.300,1.017.283,214.812
