0,1,2,3,4
Kalenderwoche,Anzahl Testun-,Positiv getestet,Positivenanteil,Anzahl über-
(KW),gen,(%),mittelnder La-,
bore,,,,
Bis einschl. KW28/2021,66.548.406,4.270.594,,
29/2021,594.342,13.804,"2,32",208
30/2021,583.319,17.108,"2,93",207
31/2021,589.841,22.500,"3,81",209
32/2021,567.948,34.255,"6,03",204
33/2021,690.888,53.966,"7,81",205
34/2021,861.596,70.512,"8,18",208
35/2021,946.403,82.050,"8,67",209
36/2021,1.010.647,79.948,"7,91",210
37/2021,974.737,72.212,"7,41",209
38/2021,941.411,60.432,"6,42",199
Summe,74.309.538,4.777.381,,
