0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,
Jahre,Jahre,Jahre,und älter,
Grundimmunisierung,,,,
Anteil nur grundimmunisierte Bevölkerung15,18%,49%,57%,53%
Anteil nur grundimmunisierter hospitalisierte Fälle15,12%,29%,40%,21%
Geschätzte Impfeffektivität gegenüber Hospitalisierung,33%,57%,48%,77%
Auffrischimpfung,,,,
Anteil Bevölkerung mit Auffrischimpfung,15,,,
0%,45%,79%,89%,
Anteil hospitalisierte Fälle mit Auffrischimpfung15,0%,17%,54%,52%
Geschätzte Impfeffektivität gegenüber Hospitalisierung,--,75%,68%,87%
