0,1,2,3,4
Kalenderwoche,Anzahl Testun-,Positiv getestet,Positivenanteil,Anzahl über-
(KW),gen,(%),mittelnder La-,
bore,,,,
Bis einschließlich,69.572.197,4.412.125,,
KW33/2021,,,,
34/2021,861.596,70.512,"8,18",208
35/2021,946.737,82.091,"8,67",210
36/2021,1.010.977,80.004,"7,91",211
37/2021,982.150,72.640,"7,40",213
38/2021,961.979,61.593,"6,40",210
39/2021,963.970,61.710,"6,40",209
40/2021,957.725,62.171,"6,49",208
41/2021,852.891,69.305,"8,13",202
42/2021,905.175,98.674,"10,90",200
43/2021,1.140.368,139.568,"12,24",198
Summe,79.155.765,5.210.393,,
