0,1,2,3
Altersgruppe,,,
12 bis 17 Jahre,18 bis 59 Jahre,60 Jahre und älter,
Symptomatische COVID-19-Fälle¹,31.265,207.476,51.212
davon vollständig geimpft,2.103,101.201,36.552
Anteil Impfdurchbrüche,"6,7%","48,8%","71,4%"
Hospitalisierte symptomatische COVID-19-Fälle¹,147,4.030,6.149
davon vollständig geimpft,11,1.136,3.443
Anteil Impfdurchbrüche,"7,5%","28,2%","56,0%"
Auf Intensivstation betreute symptomatische,0,535,996
COVID-19-Fälle¹,,,
davon vollständig geimpft,0,82,462
Anteil Impfdurchbrüche,-,"15,3%","46,4%"
Verstorbene symptomatische COVID-19-Fälle¹ ²,1,74,1.124
davon vollständig geimpft,0,12,590
Anteil Impfdurchbrüche,-,"16,2%","52,5%"
