0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,
Jahre,Jahre,Jahre,und älter,
Grundimmunisierung,,,,
Anteil nur grundimmunisierter Bevölkerung12,15%,50%,58%,56%
Anteil nur grundimmunisierter hospitalisierte Fälle12,8%,29%,40%,24%
Geschätzte Impfeffektivität gegenüber,55%,57%,51%,75%
Hospitalisierung,,,,
Auffrischimpfung,,,,
Anteil Bevölkerung mit Auffrischimpfung12,0%,43%,78%,89%
Anteil hospitalisierte Fälle mit Auffrischimpfung12,1%,13%,50%,49%
Geschätzte Impfeffektivität gegenüber,--,79%,70%,88%
