0,1,2,3,4
Kalenderwoche,Anzahl,Positiv getestet,Positivenanteil,Anzahl
(KW),Testungen,(%),übermittelnder,
Labore,,,,
Bis einschließlich,,,,
73.373.827,4.717.372,,,
KW37/2021,,,,
38/2021,963.508,61.625,"6,40",212
39/2021,965.423,61.738,"6,39",211
40/2021,959.326,62.201,"6,48",210
41/2021,859.494,69.675,"8,11",208
42/2021,906.919,98.591,"10,87",204
43/2021,1.163.564,141.219,"12,14",212
44/2021,1.191.458,188.760,"15,84",210
45/2021,1.625.710,278.921,"17,16",210
46/2021,1.857.591,365.787,"19,69",209
47/2021,1.915.621,405.919,"21,19",201
Summe,85.782.441,6.451.808,,
