0,1,2,3,4,5,6
"Impfzentren, Mobile Teams,",Arztpraxen (Vertrags- und,,,,,
Betriebsärzt:innen,,,,,,
Krankenhäuser,Privatärzt:innen),,,,,
Erstimpfungen,Zweitimpfungen,Erstimpfungen,Zweitimpfungen,Erstimpfungen,Zweitimpfungen,
Bundesland,,,,,,
Gesamt,Gesamt,Gesamt,Gesamt,Gesamt,Gesamt,
Baden-,,,,,,
4.139.720,3.757.288,2.646.813,2.340.817,179.389,169.184,
Württemberg,,,,,,
Bayern,4.560.605,4.122.506,3.407.001,3.030.485,212.030,195.804
Berlin,1.382.447,1.245.095,965.806,831.960,39.060,38.867
Brandenburg,796.092,725.341,689.181,571.259,9.852,9.122
Bremen,348.049,305.484,149.302,126.504,15.425,13.359
Hamburg,732.339,669.862,477.011,387.741,62.913,56.820
Hessen,2.393.370,2.052.218,1.584.758,1.384.823,107.414,101.530
Mecklenburg-,,,,,,
552.960,495.601,460.698,406.505,5.617,5.241,
Vorpommern,,,,,,
Niedersachsen,3.048.674,2.562.246,2.279.958,1.970.258,103.077,91.927
Nordrhein-,,,,,,
6.704.848,5.902.612,5.435.564,4.494.572,335.376,291.689,
Westfalen,,,,,,
Rheinland-Pfalz,1.589.325,1.372.422,1.087.625,928.221,52.155,56.868
Saarland,416.256,373.140,274.775,233.046,14.298,13.104
Sachsen,1.362.757,1.236.722,858.808,764.926,21.681,19.975
Sachsen-Anhalt,772.218,689.692,544.039,472.467,11.605,10.387
Schleswig-Holstein,1.122.440,984.571,883.294,740.604,32.928,31.769
Thüringen,798.526,721.721,431.228,391.897,11.139,9.765
Gesamt,30.720.626,27.216.521,22.175.861,19.076.085,1.213.959,1.115.411
