0,1,2,3,4,5,6
Meldewoche 2,Meldewoche 3,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,63.128,569,98.735,889,35.607,+56%
Bayern,77.684,591,131.882,1.004,54.198,+70%
Berlin,38.610,1.054,58.421,1.594,19.811,+51%
Brandenburg,15.345,606,29.949,1.183,14.604,+95%
Bremen,9.444,1.389,9.507,1.398,63,+1%
Hamburg,21.706,1.172,32.890,1.775,11.184,+52%
Hessen,42.115,669,63.230,1.005,21.115,+50%
Mecklenburg-,7.572,470,12.786,794,5.214,+69%
Vorpommern,,,,,,
Niedersachsen,37.643,470,60.324,754,22.681,+60%
Nordrhein-Westfalen,106.386,593,164.441,917,58.055,+55%
Rheinland-Pfalz,17.257,421,30.070,734,12.813,+74%
Saarland,4.697,477,8.488,863,3.791,+81%
Sachsen,10.853,268,17.187,424,6.334,+58%
Sachsen-Anhalt,6.199,284,9.960,457,3.761,+61%
Schleswig-Holstein,22.098,759,28.632,984,6.534,+30%
Thüringen,4.358,206,6.525,308,2.167,+50%
Gesamt,485.095,583,763.027,918,277.932,+57%
