0,1,2,3,4,5,6
Mindestens einmal geimpft,Vollständig geimpft,,,,,
Quote nach Be-,Quote nach Be-,,,,,
Mindestquote,Differenz,Mindestquote,Differenz,,,
rücksichtigung der,rücksichtigung der,,,,,
nach Meldeda-,(Prozent-,nach Melde-,(Prozent-,,,
KV-Abrechnungs-,KV-Abrechnungs-,,,,,
ten (%),Punkte),daten (%),Punkte),,,
daten (%),daten (%),,,,,
Gesamtbevölkerung,"73,6","74,4","0,8","70,5","71,2","0,6"
18+ Jahre,"84,1","86,9","2,8","81,2","82,0","0,7"
18-59 Jahre,"77,1*",-*,-,"78,2","78,3","0,1"
60+ Jahre,"88,1*",-*,-,"87,0","88,9","1,9"
