0,1,2,3,4,5,6
Alter 12-17,Alter 18-59,Alter ≥60 Jahre,,,,
Kumuliert,KW,Kumuliert,KW,Kumuliert,KW,
seit KW 05,35-38,seit KW 05,35-38,seit KW 05,35-38,
Symptomatische COVID-19-Fälle (mit An-,,,,,,
75.833,16.764,698.391,91.608,140.954,12.410,
gabe Impfstatus),,,,,,
Wahrscheinliche Impfdurchbrüche unter,506,297,44.070,23.056,12.261,6.084
symptomatischen COVID-19-Fällen,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,"0,7%","1,8%","6,3%","25,2%","8,7%","49,0%"
unter symptomatischen COVID-19-Fällen,,,,,,
Anteil vollständig Geimpfte in der Bevöl-,"25,9%",-,"67,3%",-,"83,4%",-
kerung (Impfquote) [%] a),,,,,,
Wahrscheinliche Impfdurchbrüche und VOC b),,,,,,
Wahrscheinliche Impfdurchbrüche mit,180,67,17.849,5.871,5.005,1447
Angaben zu VOC b),,,,,,
-,davon mit Delta-Variante,,,,,
169/94%,66/99%,16.075/90%,5.801/99%,3.538/71%,1.428/99%,
(B.1.617.2),,,,,,
Wahrscheinliche Impfdurchbrüche und Krankheitsschwere,,,,,,
Hospitalisierte COVID-19-Fälle (sympto-,,,,,,
739,119,28.553,3.544,32.264,2.418,
matisch mit Angabe Impfstatus),,,,,,
Hospitalisierte COVID-19-Fälle mit wahr-,,,,,,
4,2,802,392,2.114,829,
scheinlichem Impfdurchbruch,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
"0,5%","1,7%","2,8%","11,1%","6,6%","34,3%",
an hospitalisierten COVID-19-Fällen,,,,,,
COVID-19-Fälle auf Intensivstation (symp-,,,,,,
26,6,3.103,462,4.978,486,
tomatisch mit Angabe zum Impfstatus),,,,,,
Auf Intensivstation betreute COVID-19-,,,,,,
Fälle mit wahrscheinlichem Impfdurch-,0,0,55,29,251,113
bruch,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
"0,0%","0,0%","1,8%","6,3%","5,0%","23,3%",
an COVID-19-Fällen auf Intensivstation,,,,,,
Verstorbene COVID-19-Fälle (symptoma-,,,,,,
2,1,1.186,69,9.809,406,
tisch mit Angabe zum Impfstatus),,,,,,
COVID-19-Fälle mit wahrscheinlichem,,,,,,
0,0,5,3,648,152,
"Impfdurchbruch, die verstorben sind",,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
"0,0%","0,0%","0,4%","4,3%","6,6%","37,4%",
an verstorbenen COVID-19-Fällen,,,,,,
a),"Dazu zählen alle Impfserien in Deutschland mit 1 Dosis (Janssen-Vakzine) bzw. 2 Dosen (Moderna-, BioNTech- oder AstraZeneca-Vak-",,,,,
"zine), wenn mindestens zwei Wochen seit der letzten Dosis vergangen sind.",,,,,,
b),Aufgrund der in Deutschland vorherrschenden Delta-Variante werden die anderen VOC seit 19.08.2021 nicht mehr ausgewiesen.,,,,,
