0,1,2,3,4,5,6
Meldewoche 43,Meldewoche 44,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,22.520,203,26.966,243,4.446,+20%
Bayern,36.103,275,44.931,342,8.828,+24%
Berlin,5.729,156,7.586,207,1.857,+32%
Brandenburg,3.448,136,6.087,240,2.639,+77%
Bremen,576,85,598,88,22,+4%
Hamburg,2.344,127,2.752,149,408,+17%
Hessen,8.144,129,9.703,154,1.559,+19%
Mecklenburg-Vorpommern,1.523,95,2.266,141,743,+49%
Niedersachsen,6.526,82,8.584,107,2.058,+32%
Nordrhein-Westfalen,20.541,115,22.930,128,2.389,+12%
Rheinland-Pfalz,4.380,107,5.690,139,1.310,+30%
Saarland,714,73,1.085,110,371,+52%
Sachsen,12.298,303,20.832,513,8.534,+69%
Sachsen-Anhalt,3.022,139,4.652,213,1.630,+54%
Schleswig-Holstein,2.129,73,2.236,77,107,+5%
Thüringen,6.680,315,9.265,437,2.585,+39%
Gesamt,136.677,164,176.163,212,39.486,+29%
