0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams, Kranken-",Arztpraxen (Vertragsärzte und Privat-,Betriebsärzte,,,,,,,
häuser,ärzte),,,,,,,,
Bundesland,Erstimpfun- Zweitimpfun-,Auffri-,Erstimpfun- Zweitimp-,Auffri-,Erstimpfun-,Zweitimp-,Auffri-,,
gen,gen,schungsimp-,gen,fungen schungsimp-,gen,fungen,schungs-,,
fungen,fungen,impfungen,,,,,,,
Baden-Würt-,,,,,,,,,
4.346.414,3.956.650,116.083,2.908.402 2.689.600,240.739,184.188,174.881,1.120,,
temberg,,,,,,,,,
Bayern,4.900.043,4.522.447,206.514,3.666.908 3.373.191,237.299,224.103,209.529,749,
Berlin,1.439.832,1.339.245,94.966,1.077.728,980.585,124.978,41.365,43.789,113
Brandenburg,826.763,763.657,11.637,763.073,667.679,53.261,10.131,9.483,303
Bremen,374.113,332.527,23.632,163.925,146.364,14.037,16.020,13.350,141
Hamburg,771.267,704.434,19.142,548.312,488.836,48.148,66.057,62.917,464
Hessen,2.529.125,2.235.044,71.888,1.736.060 1.602.073,144.831,112.483,107.706,1.087,
Mecklenburg-,,,,,,,,,
581.093,525.913,20.859,500.889,463.557,27.306,5.841,5.471,21,
Vorpommern,,,,,,,,,
Niedersach-,,,,,,,,,
3.145.989,2.731.808,65.209,2.519.901 2.283.988,204.699,110.442,101.126,2.759,,
sen,,,,,,,,,
Nordrhein-,,,,,,,,,
7.033.728,6.348.577,73.013,5.913.390 5.249.256,630.875,347.600,312.242,7.166,,
Westfalen,,,,,,,,,
Rheinland-,,,,,,,,,
1.669.885,1.461.284,24.827,1.187.615 1.073.133,128.772,65.224,60.482,399,,
Pfalz,,,,,,,,,
Saarland,435.699,401.431,13.679,297.307,265.774,23.219,15.065,14.041,98
Sachsen,1.438.091,1.318.520,29.527,946.081,883.983,70.852,23.852,22.273,366
Sachsen-An-,,,,,,,,,
803.644,725.235,16.827,602.746,548.947,48.716,11.939,10.949,450,
halt,,,,,,,,,
Schleswig-Hol-,,,,,,,,,
1.170.076,1.059.683,20.450,956.433,867.087,124.693,35.052,34.995,805,
stein,,,,,,,,,
Thüringen,844.992,767.124,55.390,469.578,442.522,34.509,11.241,9.944,12
Gesamt,32.310.754,29.193.579,863.643 24.258.348 22.026.575,2.156.934,1.280.603,1.193.178,16.053,,
