0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,
Jahre,Jahre,Jahre,und älter,
Symptomatische COVID-19-Fälle¹,7.184,7.347,56.070,6.490
davon… ungeimpft,7.127,3.822,12.236,1.208
grundimmunisiert,48,3.332,28.941,2.168
mit Auffrischimpfung,9,193,14.893,3.114
Hospitalisierte symptomatische COVID-19-Fälle¹,22,35,502,285
davon… ungeimpft,22,18,181,102
grundimmunisiert,0,16,238,81
mit Auffrischimpfung,0,1,83,102
Auf Intensivstation betreute symptomatische COVID-19-Fälle¹,1,0,18,25
davon… ungeimpft,1,0,7,14
grundimmunisiert,0,0,8,4
mit Auffrischimpfung,0,0,3,7
Verstorbene symptomatische COVID-19-Fälle¹ ²,1,0,3,42
davon… ungeimpft,1,0,2,15
grundimmunisiert,0,0,1,12
mit Auffrischimpfung,0,0,0,15
