0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,
Jahre,Jahre,Jahre,und älter,
Grundimmunisierung,,,,
Anteil nur grundimmunisierte Bevölkerung15,17%,49%,58%,55%
Anteil nur grundimmunisierter hospitalisierte Fälle15,14%,33%,41%,23%
Geschätzte Impfeffektivität gegenüber Hospitalisierung,15%,47%,49%,75%
Auffrischimpfung,,,,
Anteil Bevölkerung mit Auffrischimpfung,15,,,
0%,44%,78%,89%,
Anteil hospitalisierte Fälle mit Auffrischimpfung15,1%,15%,54%,52%
Geschätzte Impfeffektivität gegenüber Hospitalisierung,--,77%,67%,87%
