0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams, Kranken-",Arztpraxen (Vertragsärzte und Privat-,Betriebsärzte,,,,,,,
häuser,ärzte),,,,,,,,
Bundesland,Erst-impfun-,Zweit-imp-,Auffri-,Erst-impfun-,Zweit-imp-,Auffri-,Erst-impfun-,Zweit-imp-,Auffri-
gen,fungen,schungs-imp-,gen,fungen,schungs-imp-,gen,fungen,schungs-imp-,
fungen,fungen,fungen,,,,,,,
Baden-Würt-,3.940.408,86.091,2.810.474,2.527.719,81.230,182.998,173.323,196,
4.321.605,,,,,,,,,
temberg,,,,,,,,,
Bayern,4.791.912,4.394.898,63.528,3.584.774,3.246.473,73.526,222.978,207.722,169
Berlin,1.420.500,1.312.336,42.262,1.039.853,933.249,46.507,41.286,43.686,46
Brandenburg,820.242,756.475,7.111,742.954,637.298,12.928,10.080,9.366,12
Bremen,367.700,325.124,10.856,160.514,139.452,3.260,16.002,13.299,2
Hamburg,758.353,691.739,6.027,525.017,455.015,11.455,65.333,61.338,23
Hessen,2.502.955,2.205.969,41.833,1.691.337,1.526.524,42.254,111.973,107.048,239
Mecklenburg-,573.542,517.141,7.861,487.328,444.340,5.884,5.824,5.445,8
Vorpommern,,,,,,,,,
Niedersachsen,3.134.523,2.724.879,5.931,2.455.589,2.160.762,48.134,109.713,99.930,537
Nordrhein-,6.989.605,6.303.709,39.642,5.781.510,4.989.368,236.384,346.136,310.801,4.034
Westfalen,,,,,,,,,
Rheinland-,1.658.962,1.452.683,16.505,1.158.342,1.016.854,46.028,64.754,60.006,154
Pfalz,,,,,,,,,
Saarland,430.621,397.270,5.013,291.658,254.163,6.624,15.019,13.985,15
Sachsen,1.419.680,1.298.762,6.864,921.651,841.843,18.550,23.635,21.926,23
Sachsen-An-,,,,,,,,,
797.028,717.935,10.066,585.585,519.883,18.109,11.880,10.849,6,
halt,,,,,,,,,
Schleswig-Hol-,1.164.307,1.058.768,18.241,931.470,823.879,42.497,34.845,34.569,208
stein,,,,,,,,,
Thüringen,828.577,750.884,15.653,458.619,426.855,10.697,11.221,9.916,2
Gesamt,31.980.112,28.848.980,383.484,23.626.675,20.943.677,704.067,1.273.677,1.183.209,5.674
