0,1,2,3
Altersgruppe,,,
12 bis 17 Jahre,18 bis 59 Jahre  60 Jahre und älter,,
Symptomatische COVID-19-Fälle¹,37.193,243.648,59.596
davon vollständig geimpft,3.078,123.240,42.085
Anteil Impfdurchbrüche,"8,3%","50,6%","70,6%"
Hospitalisierte symptomatische COVID-19-Fälle¹,191,4.414,6.805
davon vollständig geimpft,23,1.332,3.557
Anteil Impfdurchbrüche,"12,0%","30,2%","52,3%"
Auf Intensivstation betreute symptomatische CO-,6,626,1.168
VID-19-Fälle¹,,,
davon vollständig geimpft,0,105,480
Anteil Impfdurchbrüche,"0,0%","16,8%","41,1%"
Verstorbene symptomatische COVID-19-Fälle¹ ²,1,114,1.447
davon vollständig geimpft,0,27,660
Anteil Impfdurchbrüche,"0,0%","23,7%","45,6%"
