0,1,2,3,4,5,6
Meldewoche 49,Meldewoche 50,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,51.868,467,39.060,352,-12.808,-25%
Bayern,53.396,406,38.099,290,-15.297,-29%
Berlin,12.002,328,12.340,337,338,+3%
Brandenburg,16.983,671,15.528,613,-1.455,-9%
Bremen,1.482,218,1.884,277,402,+27%
Hamburg,4.945,267,6.048,326,1.103,+22%
Hessen,16.821,267,13.486,214,-3.335,-20%
Mecklenburg-Vorpommern,7.092,440,6.811,423,-281,-4%
Niedersachsen,15.935,199,14.763,184,-1.172,-7%
Nordrhein-Westfalen,52.702,294,43.986,245,-8.716,-17%
Rheinland-Pfalz,12.097,295,9.243,226,-2.854,-24%
Saarland,3.565,362,2.712,276,-853,-24%
Sachsen,42.861,1.056,30.305,747,-12.556,-29%
Sachsen-Anhalt,18.972,870,15.379,705,-3.593,-19%
Schleswig-Holstein,4.784,164,4.997,172,213,+4%
Thüringen,22.313,1.052,17.570,829,-4.743,-21%
Gesamt,337.818,406,272.211,327,-65.607,-19%
