0,1,2,3,4,5,6
Meldewoche 40,Meldewoche 41,Änderung im Vergleich,,,,
Bundesland,7-Tage-In-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
zidenz,Inzidenz,,,,,
Baden-Württemberg,9.889,89,11.137,100,1.248,+13%
Bayern,12.762,97,15.746,120,2.984,+23%
Berlin,3.089,84,3.427,94,338,+11%
Brandenburg,1.287,51,1.480,58,193,+15%
Bremen,685,101,513,75,-172,-25%
Hamburg,1.080,58,1.265,68,185,+17%
Hessen,4.049,64,3.629,58,-420,-10%
Mecklenburg-Vorpommern,834,52,900,56,66,+8%
Niedersachsen,3.500,44,4.020,50,520,+15%
Nordrhein-Westfalen,9.736,54,9.047,50,-689,-7%
Rheinland-Pfalz,2.468,60,2.258,55,-210,-9%
Saarland,457,46,611,62,154,+34%
Sachsen,3.850,95,5.233,129,1.383,+36%
Sachsen-Anhalt,1.176,54,1.595,73,419,+36%
Schleswig-Holstein,819,28,852,29,33,+4%
Thüringen,2.116,100,3.010,142,894,+42%
Gesamt,57.797,70,64.723,78,6.926,+12%
