0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams,",Arztpraxen (Vertragsärzte und Privatärzte),Betriebsärzte,,,,,,,
Krankenhäuser,,,,,,,,,
Bundesland,,,,,,,,,
Erst-,Zweit-,Auffrischungs-,Erst-,Zweit-,Auffrischungs-,Erst-,Zweit-,Auffrischungs-,
impfungen,impfungen,impfungen,impfungen,impfungen,impfungen impfungen impfungen,impfungen,,,
Baden-,,,,,,,,,
4.517.656,4.066.710,1.373.368,3.320.073,3.099.591,3.527.663,192.644,182.602,110.829,
Württemberg,,,,,,,,,
Bayern,5.273.177,4.887.812,2.479.923,4.005.134,3.722.984,3.069.390,233.066,217.046,79.387
Berlin,1.514.462,1.390.792,574.553,1.223.518,1.114.219,1.032.468,42.498,44.780,28.245
Brandenburg,865.974,788.171,254.568,841.588,750.791,700.664,10.931,10.161,5.572
Bremen,405.977,353.516,175.819,176.127,159.775,144.614,16.663,13.658,8.063
Hamburg,817.828,729.951,167.151,594.148,538.063,554.122,69.604,64.611,23.610
Hessen,2.674.920,2.312.965,747.621,1.906.048,1.780.983,1.728.779,118.477,113.853,75.309
Mecklenburg-,,,,,,,,,
618.177,557.974,257.259,545.420,510.728,405.903,6.558,6.078,5.677,
Vorpommern,,,,,,,,,
Niedersachsen,3.270.945,2.828.314,1.102.790,2.728.964,2.527.974,2.687.069,117.092,107.047,99.720
Nordrhein-,,,,,,,,,
7.335.915,6.550.895,1.876.436,6.403.897,5.796.155,6.307.356,355.788,324.304,196.511,
Westfalen,,,,,,,,,
Rheinland-Pfalz 1.734.141,1.500.564,469.028,1.301.069,1.197.732,1.342.689,67.692,63.423,73.897,
Saarland,454.018,411.693,151.839,325.854,296.162,359.105,15.738,14.658,12.670
Sachsen,1.512.493,1.371.255,391.685,1.049.631,993.760,1.002.571,26.284,24.649,26.555
Sachsen-,,,,,,,,,
851.741,760.643,264.865,664.854,623.434,541.004,13.220,11.762,13.239,
Anhalt,,,,,,,,,
Schleswig-,,,,,,,,,
1.217.584,1.111.617,446.962,1.029.512,947.297,933.293,37.605,37.840,26.788,
Holstein,,,,,,,,,
Thüringen,922.008,817.275,439.832,519.540,491.389,379.419,11.793,10.292,4.413
Gesamt,33.987.016 30.440.147,11.173.699,26.635.377,24.551.037,24.716.109,1.335.653 1.246.764,790.485,,
