0,1,2,3,4
Kalenderwoche,Anzahl,Positiv getestet,Positivenanteil,Anzahl
(KW),Testungen,(%),übermittelnder,
Labore,,,,
Bis einschließlich,72.391.507,4.644.732,,
KW36/2021,,,,
37/2021,982.150,72.640,"7,40",213
38/2021,961.979,61.593,"6,40",210
39/2021,963.970,61.710,"6,40",209
40/2021,957.725,62.171,"6,49",208
41/2021,857.989,69.645,"8,12",206
42/2021,906.917,98.591,"10,87",203
43/2021,1.163.552,141.219,"12,14",211
44/2021,1.183.169,188.073,"15,90",205
45/2021,1.616.468,277.834,"17,19",205
46/2021,1.830.988,363.616,"19,86",196
Summe,83.816.414,6.041.824,,
