0,1,2,3,4,5,6
Meldewoche 04,Meldewoche 05,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,139.302,1.255,175.956,1.585,36.654,+26%
Bayern,199.672,1.520,246.770,1.878,47.098,+24%
Berlin,71.438,1.950,65.152,1.778,-6.286,-9%
Brandenburg,37.586,1.485,43.187,1.706,5.601,+15%
Bremen,10.895,1.602,9.048,1.330,-1.847,-17%
Hamburg,40.198,2.170,32.369,1.747,-7.829,-19%
Hessen,95.488,1.517,109.326,1.737,13.838,+14%
Mecklenburg-,,,,,,
17.494,1.086,21.676,1.346,4.182,+24%,
Vorpommern,,,,,,
Niedersachsen,81.326,1.016,96.396,1.204,15.070,+19%
Nordrhein-Westfalen,261.496,1.459,275.779,1.538,14.283,+5%
Rheinland-Pfalz,41.479,1.012,48.911,1.193,7.432,+18%
Saarland,11.536,1.172,14.477,1.471,2.941,+25%
Sachsen,29.381,724,42.748,1.054,13.367,+45%
Sachsen-Anhalt,18.322,840,27.394,1.256,9.072,+50%
Schleswig-Holstein,28.640,984,26.645,915,-1.995,-7%
Thüringen,10.100,476,16.446,776,6.346,+63%
Gesamt,1.094.353,1.316,1.252.280,1.506,157.927,+14%
