0,1,2,3,4
Kalenderwoche,Anzahl Testun-,Positiv getestet,Positivenanteil,Anzahl über-
(KW),gen,(%),mittelnder La-,
bore,,,,
Bis einschließlich,,,,
67.142.748,4.284.398,,,
KW29/2021,,,,
30/2021,583.319,17.108,"2,93",207
31/2021,589.841,22.500,"3,81",209
32/2021,567.948,34.255,"6,03",204
33/2021,690.888,53.966,"7,81",205
34/2021,861.596,70.512,"8,18",208
35/2021,946.737,82.091,"8,67",210
36/2021,1.010.977,80.004,"7,91",211
37/2021,977.642,72.301,"7,40",211
38/2021,957.315,61.235,"6,40",208
39/2021,899.178,59.492,"6,62",200
Summe,75.228.189,4.837.862,,
