0,1,2,3,4,5,6
"Impfzentren, Mobile Teams,",Arztpraxen (Vertragsärzte und,,,,,
Betriebsärzte,,,,,,
Krankenhäuser,Privatärzte),,,,,
Erstimpfungen Zweitimpfungen,Erstimpfungen,Zweitimpfungen,Erstimpfungen,Zweitimpfungen,,
Bundesland,,,,,,
Gesamt,Gesamt,Gesamt,Gesamt,Gesamt,Gesamt,
Baden-,,,,,,
4.084.343,3.714.414,2.626.658,2.303.965,172.760,162.409,
Württemberg,,,,,,
Bayern,4.490.543,4.057.879,3.380.703,2.981.273,209.490,188.877
Berlin,1.367.228,1.216.736,950.196,813.264,36.804,35.780
Brandenburg,789.548,716.623,675.683,559.043,9.805,8.806
Bremen,341.459,301.737,147.469,123.999,15.362,13.342
Hamburg,721.614,642.741,463.675,370.248,61.011,50.495
Hessen,2.357.859,1.999.923,1.563.074,1.349.977,106.357,96.093
Mecklenburg-,,,,,,
547.418,489.489,453.521,399.533,5.630,5.243,
Vorpommern,,,,,,
Niedersachsen,3.001.101,2.494.424,2.252.520,1.920.542,98.185,86.335
Nordrhein-,,,,,,
6.580.809,5.825.371,5.355.546,4.403.611,331.797,279.335,
Westfalen,,,,,,
Rheinland-Pfalz,1.561.580,1.342.088,1.075.099,906.426,51.756,56.239
Saarland,411.492,361.408,271.227,227.343,13.856,12.549
Sachsen,1.341.968,1.217.047,848.248,751.757,20.409,18.662
Sachsen-Anhalt,761.945,679.085,536.657,461.185,11.527,9.796
Schleswig-Holstein,1.104.557,968.535,875.497,727.553,32.300,30.493
Thüringen,790.305,715.068,426.260,384.534,11.100,9.467
Gesamt,30.253.769,26.742.568,21.902.033,18.684.253,1.188.149,1.063.921
