0,1,2,3,4
Anzahl,,,,
Kalenderwoche,Positiv,Positivenanteil,,
Anzahl Testungen,übermittelnder,,,
(KW),getestet,(%),,
Labore,,,,
Bis einschließlich,,,,
62.312.517,4.210.932,,,
KW22/2021,,,,
23/2021,835.367,19.298,"2,31",209
24/2021,730.722,10.462,"1,43",205
25/2021,714.477,6.927,"0,97",209
26/2021,726.832,5.890,"0,81",214
27/2021,612.225,6.872,"1,12",212
28/2021,605.921,9.854,"1,63",207
29/2021,592.512,13.779,"2,33",207
30/2021,581.339,17.083,"2,94",206
31/2021,588.570,22.422,"3,81",207
32/2021,559.194,33.757,"6,04",196
Summe,68.859.676,4.357.276,,
