0,1,2,3,4,5
Altersgruppe,,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,,
Jahre,Jahre,Jahre,und älter,,
Grundimmunisierung,,,,,
Anteil nur grundimmunisierter Bevölkerung12,14%,50%,59%,57%,
Anteil nur grundimmunisierter hospitalisierte Fälle,12,7%,29%,38%,23%
Geschätzte Impfeffektivität gegenüber,57%,58%,58%,77%,
Hospitalisierung,,,,,
Auffrischimpfung,,,,,
Anteil Bevölkerung mit Auffrischimpfung12,0%,42%,78%,89%,
Anteil hospitalisierte Fälle mit Auffrischimpfung,12,1%,10%,45%,45%
Geschätzte Impfeffektivität gegenüber,--,83%,75%,90%,
