0,1,2,3,4
"Impfzentren, Mobile Teams,",Arztpraxen,,,
Bundesland,"Krankenhäuser,",(Vertragsärzte und,Betriebsärzte,Apotheken
Gesundheitsämter,Privatärzte),,,
Baden - Württemberg,10.473.058,11.276.060,560.910,2.935
Bayern,13.630.572,12.189.212,621.558,3.846
Berlin,3.719.128,3.873.047,135.395,3.466
Brandenburg,2.050.234,2.624.192,31.445,488
Bremen,1.022.002,547.481,44.791,73
Hamburg,1.823.795,2.078.317,182.148,1.379
Hessen,6.245.978,6.237.613,361.031,2.005
Mecklenburg-,,,,
1.544.230,1.681.985,21.722,535,
Vorpommern,,,,
Niedersachsen,7.775.568,9.007.568,364.752,3.892
Nordrhein-Westfalen,16.921.896,20.871.961,992.933,16.890
Rheinland-Pfalz,3.923.531,4.355.310,232.770,1.808
Saarland,1.082.125,1.091.618,47.197,1.208
Sachsen,3.500.338,3.524.476,98.651,2.337
Sachsen-Anhalt,2.051.802,2.145.052,47.357,947
Schleswig-Holstein,3.057.829,3.478.293,120.701,1.015
Thüringen,2.322.288,1.628.871,31.533,124
Gesamt,81.144.374,86.611.056,3.894.894,42.948
