0,1,2,3,4
Anzahl,,,,
Kalenderwoche,Positiv,Positivenanteil,,
Anzahl Testungen,übermittelnder,,,
(KW),getestet,(%),,
Labore,,,,
Bis einschließlich,,,,
63.147.884,4.230.230,,,
KW23/2021,,,,
24/2021,730.722,10.462,"1,43",205
25/2021,714.477,6.927,"0,97",209
26/2021,726.832,5.890,"0,81",214
27/2021,612.225,6.872,"1,12",212
28/2021,605.921,9.854,"1,63",207
29/2021,592.512,13.779,"2,33",207
30/2021,581.423,17.091,"2,94",206
31/2021,586.281,22.431,"3,83",207
32/2021,562.458,34.103,"6,06",201
33/2021,680.464,53.633,"7,88",199
Summe,69.541.199,4.411.272,,
