"0","1","2","3","4","5","6","7"
"Letzte 7 Tage 
Fälle kumulativ 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
100.000 
100.000 
100.000 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","380.734","3.658","3.430","12.134","109","8.868","79,9"
"Bayern","521.889","4.553","3.976","16.926","129","13.453","102,5"
"Berlin","151.297","923","4.123","3.273","89","3.109","84,7"
"Brandenburg","91.907","908","3.644","2.616","104","3.365","133,4"
"Bremen","22.006","321","3.230","833","122","417","61,2"
"Hamburg","64.321","506","3.482","2.020","109","1.406","76,1"
"Hessen","229.554","1.973","3.651","7.033","112","6.454","102,6"
"Mecklenburg-
Vorpommern","32.758","433","2.037","1.521","95","897","55,8"
"Niedersachsen","207.252","2.165","2.593","6.536","82","4.996","62,5"
"Nordrhein-Westfalen","638.671","4.731","3.559","19.483","109","14.520","80,9"
"Rheinland-Pfalz","121.830","964","2.976","3.722","91","3.377","82,5"
"Saarland","33.020","272","3.346","898","91","932","94,4"
"Sachsen","231.314","1.887","5.681","6.143","151","8.509","209,0"
"Sachsen-Anhalt","77.093","714","3.513","2.841","129","2.791","127,2"
"Schleswig-Holstein","52.252","388","1.799","1.873","65","1.455","50,1"
"Thüringen","100.418","1.068","4.707","3.985","187","3.454","161,9"
"Gesamt","2.956.316","25.464","3.555","91.837","110","78.003","93,8"
