"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","499.515","64","4.500","1.317","12","10.170","92"
"Bayern","646.581","83","4.926","1.291","10","15.201","116"
"Berlin","179.912","41","4.903","262","7","3.545","97"
"Brandenburg","108.642","2","4.308","82","3","3.788","150"
"Bremen","27.392","6","4.021","45","7","483","71"
"Hamburg","77.135","14","4.176","196","11","1.587","86"
"Hessen","290.249","41","4.616","578","9","7.490","119"
"Mecklenburg-
Vorpommern","44.103","2","2.742","34","2","1.148","71"
"Niedersachsen","260.679","36","3.261","358","4","5.733","72"
"Nordrhein-Westfalen","814.963","70","4.541","1.465","8","17.064","95"
"Rheinland-Pfalz","154.929","34","3.784","369","9","3.871","95"
"Saarland","41.389","6","4.194","117","12","1.019","103"
"Sachsen","285.668","14","7.015","191","5","10.024","246"
"Sachsen-Anhalt","99.176","-1","4.519","69","3","3.414","156"
"Schleswig-Holstein","63.780","21","2.196","137","5","1.619","56"
"Thüringen","128.669","22","6.031","154","7","4.316","202"
"Gesamt","3.722.782","455","4.476","6.665","8","90.472","109"
