"0","1","2","3","4","5","6","7"
"Letzte 7 Tage 
Fälle kumulativ 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
100.000 
100.000 
100.000 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","361.625","2.341","3.258","13.955","126","8.684","78,2"
"Bayern","496.321","2.675","3.782","17.925","137","13.239","100,9"
"Berlin","145.245","663","3.958","4.564","124","3.046","83,0"
"Brandenburg","87.593","592","3.473","3.596","143","3.302","130,9"
"Bremen","20.821","117","3.057","902","132","404","59,3"
"Hamburg","60.667","328","3.284","2.474","134","1.378","74,6"
"Hessen","217.605","1.514","3.461","8.822","140","6.321","100,5"
"Mecklenburg-
Vorpommern","30.363","382","1.888","1.661","103","857","53,3"
"Niedersachsen","196.101","1.251","2.453","9.054","113","4.847","60,6"
"Nordrhein-Westfalen","608.416","3.417","3.390","23.459","131","14.194","79,1"
"Rheinland-Pfalz","115.924","608","2.832","4.670","114","3.322","81,1"
"Saarland","31.737","191","3.216","803","81","925","93,7"
"Sachsen","220.335","1.259","5.411","7.425","182","8.360","205,3"
"Sachsen-Anhalt","72.432","397","3.300","3.474","158","2.706","123,3"
"Schleswig-Holstein","49.590","360","1.708","2.084","72","1.432","49,3"
"Thüringen","94.098","956","4.411","5.171","242","3.325","155,9"
"Gesamt","2.808.873","17.051","3.377","110.039","132","76.342","91,8"
