"0","1","2","3"
"Cumulative cases  
Last 7 days 
Cumulative deaths","","",""
"7-day 
Cases/ 
Cases in 
Number of 
Total number 
Number of 
incidence/ 
Number of 
Federal State 
100,000 
the last 
deaths/ 
of cases 
new cases 
100,000 
deaths 
pop. 
7 days 
100,000 pop. 
pop.","","",""
"Baden-Wuerttemberg","531 
2,645 
293,647","8,244 
74","7,063 
63.6"
"Bavaria","403,454 
1,281 
3,074","12,070 
92","10,394 
79.2"
"Berlin","119,943 
99 
3,269","3,134 
85","2,278 
62.1"
"Brandenburg","68,335 
161 
2,710","3,116 
124","2,291 
90.8"
"Bremen","15,998 
27 
2,348","567 
83","268 
39.3"
"Hamburg","46,399 
135 
2,512","1,487 
80","1,073 
58.1"
"Hesse","172,056 
233 
2,736","5,780 
92","4,842 
77.0"
"Mecklenburg- 
Western Pomerania","19,937 
89 
1,240","1,458 
91","451 
28.0"
"Lower Saxony","142,733 
636 
1,786","6,063 
76","3,285 
41.1"
"North Rhine-Westphalia","486,992 
1,099 
2,713","15,494 
86","10,824 
60.3"
"Rhineland-Palatinate","93,044 
406 
2,273","3,355 
82","2,531 
61.8"
"Saarland","25,807 
95 
2,615","1,247 
126","737 
74.7"
"Saxony","180,210 
470 
4,426","4,924 
121","6,289 
154.4"
"Saxony-Anhalt*","51,620 
0 
2,352","2,883 
131","1,712 
78.0"
"Schleswig-Holstein","36,204 
183 
1,247","2,326 
80","888 
30.6"
"Thuringia","65,592 
163 
3,075","3,437 
161","2,194 
102.8"
"Total *","5,608 
2,672 
2,221,971","75,585 
91","57,120 
68.7"
