"0","1","2","3","4","5","6"
"Bundesland","Impfzentren, Mobile Teams, 
Krankenhäuser","","Arztpraxen (Vertragsärzte und 
Privatärzte)","","Betriebsärzte",""
"","Erstimpfungen","Zweitimpfungen","Erstimpfungen","Zweitimpfungen","Erstimpfungen","Zweitimpfungen"
"","Gesamt","Gesamt","Gesamt","Gesamt","Gesamt","Gesamt"
"Baden-Württemberg","3.766.779","2.862.849","2.352.008","1.258.205","129.130","8.282"
"Bayern","4.074.851","3.260.944","3.017.191","1.577.623","155.508","5.889"
"Berlin","1.212.271","852.871","829.315","471.770","25.805","4.463"
"Brandenburg","740.746","516.261","597.072","331.840","5.978","494"
"Bremen","307.142","189.076","132.110","68.106","9.935","225"
"Hamburg","616.518","466.604","390.184","193.827","39.073","1.089"
"Hessen","2.108.370","1.575.236","1.356.874","713.556","67.002","4.076"
"Mecklenburg-
Vorpommern","501.196","376.756","405.804","257.653","4.513","104"
"Niedersachsen","2.652.041","1.839.449","2.001.179","934.557","66.443","2.349"
"Nordrhein-Westfalen","5.776.847","4.835.021","4.739.183","2.384.216","219.668","7.399"
"Rheinland-Pfalz","1.403.358","1.012.580","949.922","477.777","28.456","1.128"
"Saarland","353.598","295.551","237.661","123.688","10.944","210"
"Sachsen","1.216.559","1.016.392","752.092","459.973","17.897","3.272"
"Sachsen-Anhalt","697.638","527.270","472.430","255.195","6.473","738"
"Schleswig-Holstein","972.515","745.478","768.860","373.680","19.577","406"
"Thüringen","739.391","535.071","380.720","236.224","9.131","494"
"Gesamt","27.139.820","20.907.409","19.382.605","10.117.890","815.533","40.618"
